userName,userID,userStatus
@tigermonkey,1,1
@Corey_Feldman,2,1
@RepublicStaff,3,1
@HillaryClinton,4,1
@LGUSAMobile,1,1
@RoyalMail,2,1
@VodafoneUK,3,1
@NatWest_Help,4,1
@kemaha,5,1
@EE,6,1
@AmericanAir,7,1
@Budget,8,1
@Rob_G_Jackson,9,1
@manutdnewsonly,10,1
@PattyArquette,11,1
@AAUW,12,1
@jimhydepoet,13,1
@Spill_Words,14,1
@AuroreLebas,15,1
@samuelmark86,16,1
@EckhartTolle,17,1
@ArielRebel,18,1
@ZennyTheGreat,19,1
@ProductionsShe,20,1
@ertheatre,21,1
@NoirEnBlanca,22,1
@ssojo81,23,1
@KellyRipa,24,1
@SamThompsonUK,25,1
@DeviantArt,26,1
@realDonaldTrump,27,1
@PartyofPeople,28,1
@ReRe_76804,29,1
@c2c_Rail,30,1
@KarlLansley,31,1
@c2c_rail,32,1
@Got_Anxiety,33,1
