userName,userID,userStatus
,1,
,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,
,10,
,11,
,12,
,13,
,14,
,15,
,16,
,17,
userName,userID,userStatus
@RoyalMail,1,1
@VodafoneUK,2,1
@NatWest_Help,3,1
@kemaha,4,1
@EE,5,1
@AmericanAir,6,1
@Budget,7,1
@Rob_G_Jackson,8,1
@manutdnewsonly,9,1
@PattyArquette,10,1
@AAUW,11,1
@jimhydepoet,12,1
@Spill_Words,13,1
@AuroreLebas,14,1
@samuelmark86,15,1
@EckhartTolle,16,1
@TMobileHelp,17,1
userName,userID,userStatus
@RoyalMail,1,1
@VodafoneUK,2,1
@NatWest_Help,3,1
@kemaha,4,1
@EE,5,1
@AmericanAir,6,1
@Budget,7,1
@Rob_G_Jackson,8,1
@manutdnewsonly,9,1
@PattyArquette,10,1
@AAUW,11,1
@jimhydepoet,12,1
@Spill_Words,13,1
@AuroreLebas,14,1
@samuelmark86,15,1
@EckhartTolle,16,1
@TMobileHelp,17,1
@tigermonkey,1,1
@ZennyTheGreat,1,1
@Corey_Feldman,2,1
@RepublicStaff,3,1
@HillaryClinton,4,1
@DeviantArt,2,1
@realDonaldTrump,3,1
@PartyofPeople,4,1
@ReRe_76804,5,1
@c2c_Rail,6,1
@KarlLansley,7,1
@c2c_rail,8,1
@Got_Anxiety,9,1
@ArielRebel,1,1
@ProductionsShe,2,1
@ertheatre,3,1
@KellyRipa,4,1
@SamThompsonUK,5,1
@StefanieKnightx,6,1
@StefanieKnightx,7,1
userName,userID,userStatus
@RoyalMail,1,1
@VodafoneUK,2,1
@NatWest_Help,3,1
@kemaha,4,1
@EE,5,1
@AmericanAir,6,1
@Budget,7,1
@Rob_G_Jackson,8,1
@manutdnewsonly,9,1
@PattyArquette,10,1
@AAUW,11,1
@jimhydepoet,12,1
@Spill_Words,13,1
@AuroreLebas,14,1
@samuelmark86,15,1
@EckhartTolle,16,1
@TMobileHelp,17,1
@tigermonkey,1,1
@Corey_Feldman,2,1
@HillaryClinton,3,1
@BootsNo7,1,1
@ArielRebel,2,1
@ProductionsShe,3,1
@ertheatre,4,1
@NoirEnBlanca,5,1
@ssojo81,6,1
@KellyRipa,7,1
@SamThompsonUK,8,1
@StefanieKnightx,9,1
@StefanieKnightx,10,1
@acdc,1,1
@ZennyTheGreat,2,1
@DeviantArt,3,1
@realDonaldTrump,4,1
@PartyofPeople,5,1
@ReRe_76804,6,1
@c2c_Rail,7,1
@KarlLansley,8,1
@c2c_rail,9,1
@Got_Anxiety,10,1
